6;10;77;51;21;65;2020;
7;31;98;65;98;11;2020;
10;67;83;12;10;20;2020;
16;7;21;40;72;50;2020;
18;28;85;53;56;92;2020;
24;13;49;88;63;22;2020;
25;21;38;80;63;59;2020;
27;67;13;26;15;82;2020;
29;87;6;99;38;19;2020;
30;49;60;40;11;13;2020;
31;22;51;49;51;78;2020;
41;83;1;49;48;28;2020;
48;25;93;91;41;69;2020;
50;65;97;62;57;51;2020;
54;63;97;50;90;54;2020;
56;6;38;82;13;20;2020;
59;26;28;49;30;12;2020;
60;19;10;58;42;75;2020;
62;78;3;92;43;55;2020;
64;31;60;92;2;11;2020;
77;15;83;98;35;0;2020;
83;31;51;14;94;98;2020;
84;26;15;8;29;71;2020;
86;89;94;95;72;27;2020;
87;81;73;74;2;83;2020;
89;47;9;15;65;35;2020;
90;46;63;60;15;39;2020;
94;66;94;85;90;12;2020;
97;48;11;75;74;43;2020;
99;47;89;1;54;38;2020;
100;42;65;37;14;87;2020;
2;10;34;19;53;21;2021;
4;0;100;56;1;62;2021;
9;78;95;5;12;72;2021;
26;29;5;73;22;2;2021;
28;16;69;1;32;47;2021;
32;83;24;59;70;99;2021;
33;65;9;58;96;8;2021;
34;56;43;78;84;45;2021;
35;96;60;41;70;20;2021;
36;90;35;6;73;87;2021;
38;63;87;43;54;63;2021;
42;65;27;60;61;97;2021;
55;77;78;36;80;50;2021;
57;1;35;83;4;33;2021;
58;77;11;50;61;2;2021;
68;62;99;60;10;13;2021;
69;65;17;87;39;60;2021;
73;33;87;100;35;27;2021;
76;23;23;93;71;63;2021;
78;96;38;54;9;72;2021;
79;55;98;45;32;31;2021;
82;56;11;24;7;14;2021;
91;32;34;44;39;40;2021;
98;76;18;91;84;93;2021;
5;5;90;97;41;67;2022;
8;51;45;52;51;25;2022;
11;74;70;72;31;19;2022;
12;49;47;80;86;82;2022;
14;84;15;89;23;10;2022;
15;86;66;77;3;88;2022;
20;39;93;13;73;50;2022;
23;68;18;56;84;65;2022;
37;45;37;65;55;79;2022;
39;16;70;23;7;26;2022;
43;14;85;58;27;75;2022;
45;82;8;80;42;27;2022;
47;0;64;32;73;38;2022;
52;16;97;1;87;99;2022;
53;44;50;9;85;94;2022;
63;24;52;86;47;2;2022;
65;82;63;93;72;38;2022;
71;38;53;95;95;3;2022;
72;56;14;82;1;12;2022;
74;9;23;66;93;71;2022;
88;95;59;90;78;78;2022;
93;55;25;59;97;70;2022;
1;96;23;46;48;16;2023;
3;20;0;54;77;53;2023;
13;85;5;94;74;88;2023;
17;69;48;65;56;2;2023;
19;19;84;61;38;96;2023;
21;9;41;2;89;1;2023;
22;93;86;66;78;20;2023;
40;62;73;15;36;66;2023;
44;77;48;61;6;24;2023;
46;10;33;56;9;18;2023;
49;64;7;77;50;46;2023;
51;48;27;52;49;71;2023;
61;10;25;14;5;44;2023;
66;17;77;50;92;63;2023;
67;8;55;2;38;64;2023;
70;32;59;55;3;67;2023;
75;1;61;0;42;6;2023;
80;88;61;63;27;95;2023;
81;6;51;0;17;59;2023;
85;13;31;57;87;2;2023;
92;53;75;1;81;0;2023;
95;33;27;12;4;1;2023;
96;6;44;63;73;0;2023;
